Gene,log2FC,pval,-log10(pval),FDR,Status
SLC16A6,-4.390517020796433,1.1927483347869739e-73,72.92345118109336,2.0059680600950105e-71,Upregulated in BRCA_LumA
CDC25A,2.2350540695277457,1.3403690265748306e-73,72.87277561645529,2.235909893273364e-71,Upregulated in BRCA_Basal
C10orf32,-1.276676886535632,1.4090844999124598e-73,72.85106296235882,2.3315803039680526e-71,Upregulated in BRCA_LumA
C20orf26,-3.7444296618472626,1.456834861336214e-73,72.83658967463708,2.3913070147917153e-71,Upregulated in BRCA_LumA
APH1B,-1.6823640523680972,2.0667701559057964e-73,72.68470781827938,3.3655547665773916e-71,Upregulated in BRCA_LumA
CCNA2,1.9341340893470467,2.2648753730336142e-73,72.6449556904692,3.659111252275882e-71,Upregulated in BRCA_Basal
CCDC48,-3.619179908456739,2.2933175968846233e-73,72.63953579654648,3.676116441631149e-71,Upregulated in BRCA_LumA
BUB1,2.0385575216630576,2.6306893116687322e-73,72.57993043971182,4.184223511381321e-71,Upregulated in BRCA_Basal
SYTL4,-2.067476744894335,3.055381243448369e-73,72.51493459177311,4.822331719467202e-71,Upregulated in BRCA_LumA
F7,-2.260632064849882,3.792245032974928e-73,72.42110360882585,5.939639968441189e-71,Upregulated in BRCA_LumA
PDSS1,1.7441207993568832,4.019278476279952e-73,72.39585190261067,6.247542104266065e-71,Upregulated in BRCA_Basal
GATA3-AS1,-4.236950621917958,4.0527995198721057e-73,72.39224487900361,6.252281244265854e-71,Upregulated in BRCA_LumA
CAPN8,-4.6887695060907,4.2775841555718396e-73,72.36880143755754,6.5498113211957464e-71,Upregulated in BRCA_LumA
C9orf98,-2.4139655191834684,5.0292807738028806e-73,72.29849411798627,7.643761697547223e-71,Upregulated in BRCA_LumA
ATP7B,-2.688343140639179,8.069037458742053e-73,72.0931782684116,1.2173566954299224e-70,Upregulated in BRCA_LumA
SUOX,-1.2193330887164853,8.410422783939764e-73,72.07518217208354,1.2595989392764676e-70,Upregulated in BRCA_LumA
RGS22,-5.435257199747583,9.523410501785198e-73,72.02120749522277,1.4159517150407876e-70,Upregulated in BRCA_LumA
C9orf116,-2.4192241662127634,1.00086766430553e-72,71.99962334156288,1.4773958803036593e-70,Upregulated in BRCA_LumA
SKA1,2.1272904900635847,1.2515981774094968e-72,71.90253507794961,1.8343065288634326e-70,Upregulated in BRCA_Basal
DEPDC1,2.196923319297682,1.5139710117528895e-72,71.81988244026282,2.203096256677006e-70,Upregulated in BRCA_Basal
ERGIC1,-1.359220730562875,1.604217249937729e-72,71.79473681805922,2.3179809531142482e-70,Upregulated in BRCA_LumA
KIFC1,1.8865176089581606,2.251414138463502e-72,71.64754461094957,3.2303856848247647e-70,Upregulated in BRCA_Basal
ORC6L,2.0736429327240735,2.6123308060681956e-72,71.58297182810404,3.7222085749241136e-70,Upregulated in BRCA_Basal
KCMF1,0.8823708185471844,3.3741775550953216e-72,71.4718320678141,4.7745775914100557e-70,Not Significant
P4HTM,-1.7775053996536123,3.5162968603874046e-72,71.45391446710629,4.941601300097861e-70,Upregulated in BRCA_LumA
GP2,-6.43168418091913,3.6342766187180383e-72,71.43958201995292,5.07265902468413e-70,Upregulated in BRCA_LumA
TTLL4,2.0184819976532524,3.7873156043013485e-72,71.42166850277582,5.215311514701682e-70,Upregulated in BRCA_Basal
HPX,-5.170037524909372,3.7873156043013485e-72,71.42166850277582,5.215311514701682e-70,Upregulated in BRCA_LumA
FAM54A,2.0899321416877013,3.850315067732703e-72,71.41450373112029,5.2667176373159734e-70,Upregulated in BRCA_Basal
CDCA3,2.183294059670495,4.1129338601676715e-72,71.38584827429709,5.5886872147629325e-70,Upregulated in BRCA_Basal
ROPN1,6.092041352053659,4.2159555633989807e-72,71.37510397527946,5.69098527959344e-70,Upregulated in BRCA_Basal
SUV39H2,1.6720688170236837,4.2508646425419804e-72,71.37152272376329,5.700603969652049e-70,Upregulated in BRCA_Basal
CCDC96,-2.017467145763119,4.2860618813049524e-72,71.36794156299199,5.710481667572404e-70,Upregulated in BRCA_LumA
NEK10,-5.774182868149938,6.261721352760319e-72,71.2033062624379,8.288903142963627e-70,Upregulated in BRCA_LumA
BIRC5,2.256843663615725,6.633307073164635e-72,71.17826989760678,8.724499649178972e-70,Upregulated in BRCA_Basal
MAPT-IT1,-6.705050289308689,6.688155516078539e-72,71.17469363703592,8.740609864898056e-70,Upregulated in BRCA_LumA
APBB2,-1.716292977046785,7.885196457821181e-72,71.10318748185509,1.023977600769462e-69,Upregulated in BRCA_LumA
ANP32E,1.87056381829098,9.219550446638635e-72,71.03529025500973,1.182292100400822e-69,Upregulated in BRCA_Basal
NXNL2,-4.5227789717239535,9.219550446638635e-72,71.03529025500973,1.182292100400822e-69,Upregulated in BRCA_LumA
SPEF1,-3.8186319385822114,1.0778894306361547e-71,70.96742578657731,1.373673002347368e-69,Upregulated in BRCA_LumA
TUBA3E,-5.4025903649055715,1.1048076207911568e-71,70.95671333872329,1.3992865903328985e-69,Upregulated in BRCA_LumA
LRTOMT,-1.5393982122636856,1.1511685765919521e-71,70.93886107383081,1.4490599297247655e-69,Upregulated in BRCA_LumA
KIF18B,2.0517893214828096,1.2497888627554045e-71,70.90316334978017,1.5636077979277674e-69,Upregulated in BRCA_Basal
FAM171A1,2.575229980111714,1.4137291795556833e-71,70.84963377801391,1.7579936549165763e-69,Upregulated in BRCA_Basal
BBS1,-1.3251118763871992,1.5347627865901438e-71,70.81395873968906,1.8970037864612392e-69,Upregulated in BRCA_LumA
LMX1B,-2.263816322044598,1.7792356104273156e-71,70.74976653784461,2.1860093565717164e-69,Upregulated in BRCA_LumA
CDCA5,1.786146449963429,2.004114202695146e-71,70.69807753420841,2.447643762553512e-69,Upregulated in BRCA_Basal
CDC45,2.001725757234237,2.2024376716636225e-71,70.65709637314772,2.6739417838576455e-69,Upregulated in BRCA_Basal
C7orf63,-2.582675803715399,2.4502799486285555e-71,70.61078429392161,2.9573437638800413e-69,Upregulated in BRCA_LumA
FANCA,2.1097905426997645,3.514394348080413e-71,70.45414950818328,4.216862177421866e-69,Upregulated in BRCA_Basal
CASC1,-3.020221652137324,3.631460349376212e-71,70.43991869338366,4.331994386540763e-69,Upregulated in BRCA_LumA
CYP4Z2P,-3.9134024008448924,4.2777322976696976e-71,70.3687863972499,5.073439958588836e-69,Upregulated in BRCA_LumA
LRP8,2.4734779283492485,4.493101337553096e-71,70.3474537862047,5.298244439305425e-69,Upregulated in BRCA_Basal
GSG2,1.8901372777230294,4.680808721423124e-71,70.32967910570609,5.488047619780552e-69,Upregulated in BRCA_Basal
MAGED2,-2.0193382198631116,5.83801180763526e-71,70.23373503096745,6.80592762892388e-69,Upregulated in BRCA_LumA
ANKRD30A,-5.488307765400224,6.439995246056683e-71,70.19111445323213,7.4653007038752e-69,Upregulated in BRCA_LumA
GTSE1,1.9782769746123232,6.4928694653088046e-71,70.18756332823243,7.484308746584609e-69,Upregulated in BRCA_Basal
FAM83D,2.1901722915070123,7.103838146132291e-71,70.1485069420834,8.142824082812422e-69,Upregulated in BRCA_Basal
TMEM25,-1.8583532495500332,7.900170236038438e-71,70.10236355025695,9.005316272390927e-69,Upregulated in BRCA_LumA
LRRC48,-2.8592743288745837,8.162652935511426e-71,70.08816866869678,9.253111211647704e-69,Upregulated in BRCA_LumA
SYTL2,-2.6830724280339444,8.857520852360627e-71,70.05268781657824,9.985638068611832e-69,Upregulated in BRCA_LumA
DSCC1,1.8334197512342703,1.001189872627683e-70,69.99948355207636,1.1225362735833224e-68,Upregulated in BRCA_Basal
REEP5,-1.22066236664006,1.1691741574406386e-70,69.93212079253199,1.30375626969386e-68,Upregulated in BRCA_LumA
REEP6,-3.140041725156746,1.2178696425918178e-70,69.91439919489922,1.350716179821563e-68,Upregulated in BRCA_LumA
SPEF2,-1.932410556226599,1.2278486933837225e-70,69.91085514758993,1.3544623382175923e-68,Upregulated in BRCA_LumA
SFT2D2,1.739088698606833,1.2379092524579522e-70,69.90731119101969,1.358257863204934e-68,Upregulated in BRCA_Basal
ACOT4,-2.1013462881492293,1.2894580884951667e-70,69.88959276925391,1.4072926095608418e-68,Upregulated in BRCA_LumA
BTG3,1.9170657528204922,1.3000218235046237e-70,69.88604935711771,1.411314697072374e-68,Upregulated in BRCA_Basal
BCAM,-2.1948045452102765,1.4337205523363741e-70,69.84353548911798,1.5482672785704066e-68,Upregulated in BRCA_LumA
KCNK15,-3.8688011391327706,1.581121748565588e-70,69.8010346875033,1.6985055516789915e-68,Upregulated in BRCA_LumA
GREB1,-3.768825915125233,1.729469479196369e-70,69.7620870977916,1.8481903528203696e-68,Upregulated in BRCA_LumA
TMBIM6,-0.9978715985766873,1.794084287086203e-70,69.74615715741426,1.9073068084163064e-68,Not Significant
PPP1R14C,4.757392519715957,1.907166721258907e-70,69.71961134001228,2.0170745766386732e-68,Upregulated in BRCA_Basal
EXO1,2.075772807837057,2.069069808428597e-70,69.68422485640826,2.1770858630429715e-68,Upregulated in BRCA_Basal
RALGPS2,-2.246401859614885,2.281534007143336e-70,69.64177305351652,2.3883936101309677e-68,Upregulated in BRCA_LumA
FAM198B,-2.5734329838407555,2.300191567151793e-70,69.63823599307267,2.395702059635558e-68,Upregulated in BRCA_LumA
CHAD,-4.507881704202853,2.3190012174252986e-70,69.63469902336678,2.403094291875368e-68,Upregulated in BRCA_LumA
CIRBP,-1.422560738755983,2.59901643050067e-70,69.58519097496101,2.679729604070992e-68,Upregulated in BRCA_LumA
BBS4,-1.3581254182165554,2.960519150617294e-70,69.52863212526582,3.037196596618282e-68,Upregulated in BRCA_LumA
C9orf152,-3.011504695756465,3.1086473279873556e-70,69.50742854530863,3.1575854393883445e-68,Upregulated in BRCA_LumA
CHEK1,1.7017187875615565,3.1086473279873556e-70,69.50742854530863,3.1575854393883445e-68,Upregulated in BRCA_Basal
CXXC5,-1.9158479346297916,3.159647170323247e-70,69.50036141122237,3.1935783566843537e-68,Upregulated in BRCA_LumA
ZNF703,-3.0185169319744056,3.2908253649255796e-70,69.48269516391089,3.30986053125211e-68,Upregulated in BRCA_LumA
MYBL2,2.406805330044695,4.065675896347828e-70,69.39086724498915,4.069245758110474e-68,Upregulated in BRCA_Basal
CDK2AP1,1.5755817335815798,4.3742646121509677e-70,69.35909494875128,4.3568524908792985e-68,Upregulated in BRCA_Basal
DLGAP5,1.8131221683835865,4.592852507333653e-70,69.3379175010832,4.552470905578353e-68,Upregulated in BRCA_Basal
FAM174A,-1.4448201151343043,6.355972444851158e-70,69.19681799426438,6.269800126127695e-68,Upregulated in BRCA_LumA
C14orf174,-2.5587982790687605,6.61925689135733e-70,69.17919076374727,6.498273344347832e-68,Upregulated in BRCA_LumA
MICALL1,1.6993876475791516,7.722750858448726e-70,69.11222797559103,7.545495338745284e-68,Upregulated in BRCA_Basal
ESYT3,3.2858872346905668,8.107955619822545e-70,69.09108863715205,7.884314379503269e-68,Upregulated in BRCA_Basal
NCAPH,1.7341810030224887,9.156835622307635e-70,69.03825458192172,8.862261948042833e-68,Upregulated in BRCA_Basal
LRIG1,-1.8056596212962635,1.0257435237919333e-69,68.98896121634526,9.880847709466143e-68,Upregulated in BRCA_LumA
EFCAB12,-3.3423181137014057,1.0812321327493683e-69,68.96608105613981,1.0366692009229691e-67,Upregulated in BRCA_LumA
DNAH7,-2.913123229160782,1.186833608865849e-69,68.92561016378905,1.1326256738004414e-67,Upregulated in BRCA_LumA
TSPAN13,-1.8646800912373116,1.2765985246312016e-69,68.89394566182138,1.212650394832546e-67,Upregulated in BRCA_LumA
PREX1,-2.4417289952520913,1.3510679848975667e-69,68.86932279700092,1.2774752494989987e-67,Upregulated in BRCA_LumA
PHGDH,3.0035767475946495,1.5504475500208341e-69,68.8095429208951,1.4592698546480494e-67,Upregulated in BRCA_Basal
ANLN,2.129069444278604,1.6811616052895217e-69,68.774390537059,1.5679124462422912e-67,Upregulated in BRCA_Basal
SKA3,1.8699814544029265,1.6811616052895217e-69,68.774390537059,1.5679124462422912e-67,Upregulated in BRCA_Basal
ATP8B1,-1.7960321423703445,1.9135261619765745e-69,68.71816559566871,1.7765488593409662e-67,Upregulated in BRCA_LumA
GFRA1,-4.450465831141782,2.0086893126937297e-69,68.69708723110494,1.8564994287319796e-67,Upregulated in BRCA_LumA
CELSR1,-2.286338025129012,2.0747376937251914e-69,68.68303680274403,1.908944753356658e-67,Upregulated in BRCA_LumA
TPRG1,-5.346237854107567,2.2677458961748456e-69,68.64440561030455,2.077214745433727e-67,Upregulated in BRCA_LumA
WWP1,-1.823430816669526,2.3804623764626666e-69,68.62333867821962,2.1707700906782663e-67,Upregulated in BRCA_LumA
RNF103,-1.011321033440688,2.399784033764251e-69,68.61982784044037,2.178706584282075e-67,Upregulated in BRCA_LumA
LBR,1.5864966121369342,2.49876254470854e-69,68.60227501255005,2.258573123010124e-67,Upregulated in BRCA_Basal
PVR,1.5711004859872075,3.009114958065792e-69,68.52156122046864,2.7079395048067508e-67,Upregulated in BRCA_Basal
LEMD1,6.089181876584173,3.5365977830407293e-69,68.45141432965055,3.168729838970729e-67,Upregulated in BRCA_Basal
