Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	DNA repair (GO:0006281)	14/298	1.937200e-06	1.159414e-04	0	0	5.172346e+00	6.803842e+01	BLM;RFC4;CDCA5;RNF8;FANCA;FANCB;FANCE;RAD51AP1;RAD51;EXO1;CHEK2;CHEK1;RAD54L;TRIP13
GO_Biological_Process_2021	negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	5/22	2.181048e-06	1.243197e-04	0	0	2.983861e+01	3.889674e+02	CDC20;PLK1;TTK;TRIP13;BUB1
GO_Biological_Process_2021	regulation of signal transduction by p53 class mediator (GO:1901796)	10/156	3.946812e-06	2.147425e-04	0	0	7.085076e+00	8.815678e+01	TPX2;BLM;RFC4;EXO1;CHEK2;PAK1IP1;CHEK1;POU4F1;AURKB;AURKA
GO_Biological_Process_2021	attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	4/12	4.511014e-06	2.347688e-04	0	0	5.048980e+01	6.214783e+02	CDT1;NUF2;KIF2C;NDC80
GO_Biological_Process_2021	mitotic spindle assembly (GO:0090307)	6/44	4.771806e-06	2.379938e-04	0	0	1.608410e+01	1.970751e+02	TPX2;KIFC1;CHEK2;KIF4A;KIF23;AURKB
GO_Biological_Process_2021	double-strand break repair via homologous recombination (GO:0000724)	8/97	5.868684e-06	2.809926e-04	0	0	9.227996e+00	1.111593e+02	RAD51AP1;BLM;CDC45;RAD51;MCM7;RAD54L;FANCB;MCM6
GO_Biological_Process_2021	mitotic chromosome condensation (GO:0007076)	5/27	6.420000e-06	2.873477e-04	0	0	2.305128e+01	2.756033e+02	CDCA5;PLK1;NCAPG;NCAPD2;NCAPH
GO_Biological_Process_2021	G2/M transition of mitotic cell cycle (GO:0000086)	9/130	6.481527e-06	2.873477e-04	0	0	7.663494e+00	9.155234e+01	CCNA2;CCNB2;MELK;CHEK2;TUBB;PLK1;FOXM1;CDC25A;AURKA
GO_Biological_Process_2021	cell cycle G2/M phase transition (GO:0044839)	9/131	6.900198e-06	2.949835e-04	0	0	7.600292e+00	9.032157e+01	CCNA2;CCNB2;MELK;CHEK2;TUBB;PLK1;FOXM1;CDC25A;AURKA
GO_Biological_Process_2021	positive regulation of cell cycle process (GO:0090068)	8/101	7.931809e-06	3.273923e-04	0	0	8.829301e+00	1.036969e+02	GPSM2;RANBP1;DBF4;KIF14;KIF23;NDC80;AURKB;AURKA
GO_Biological_Process_2021	regulation of cell division (GO:0051302)	7/76	1.098130e-05	4.137103e-04	0	0	1.037148e+01	1.184352e+02	BLM;KIF18B;PLK1;KIF20A;POU5F1;AURKB;AURKA
GO_Biological_Process_2021	CENP-A containing chromatin organization (GO:0061641)	5/30	1.105992e-05	4.137103e-04	0	0	2.028205e+01	2.314625e+02	CENPW;HJURP;CENPN;CENPO;CENPA
GO_Biological_Process_2021	CENP-A containing nucleosome assembly (GO:0034080)	5/30	1.105992e-05	4.137103e-04	0	0	2.028205e+01	2.314625e+02	CENPW;HJURP;CENPN;CENPO;CENPA
GO_Biological_Process_2021	DNA duplex unwinding (GO:0032508)	6/51	1.148671e-05	4.166542e-04	0	0	1.357732e+01	1.544328e+02	PIF1;BLM;RAD51;MCM7;HMGA1;MCM6
GO_Biological_Process_2021	chromatin remodeling at centromere (GO:0031055)	5/32	1.537716e-05	5.413663e-04	0	0	1.877778e+01	2.081071e+02	CENPW;HJURP;CENPN;CENPO;CENPA
GO_Biological_Process_2021	regulation of cyclin-dependent protein kinase activity (GO:1904029)	6/54	1.606799e-05	5.495251e-04	0	0	1.272680e+01	1.404871e+02	CCNA2;CCNB2;BLM;CCNE1;CDC25A;GTPBP4
GO_Biological_Process_2021	interstrand cross-link repair (GO:0036297)	6/55	1.788651e-05	5.873521e-04	0	0	1.246644e+01	1.362765e+02	RAD51AP1;RAD51;RNF8;FANCA;FANCB;FANCE
GO_Biological_Process_2021	regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	7/82	1.815541e-05	5.873521e-04	0	0	9.538860e+00	1.041314e+02	CCNA2;CCNB2;BLM;CCNE1;PLK1;CDC25A;GTPBP4
GO_Biological_Process_2021	sister chromatid segregation (GO:0000819)	5/34	2.090571e-05	6.585298e-04	0	0	1.748099e+01	1.883662e+02	KIF18B;KIFC1;PLK1;CDCA8;NDC80
GO_Biological_Process_2021	microtubule depolymerization (GO:0007019)	4/18	2.660404e-05	8.165395e-04	0	0	2.884257e+01	3.038405e+02	KIF18B;STMN1;KIF14;KIF2C
GO_Biological_Process_2021	DNA integrity checkpoint signaling (GO:0031570)	5/39	4.153860e-05	1.212725e-03	0	0	1.490649e+01	1.503899e+02	CDT1;CDC45;CHEK2;CHEK1;DONSON
GO_Biological_Process_2021	DNA replication-independent nucleosome assembly (GO:0006336)	5/39	4.153860e-05	1.212725e-03	0	0	1.490649e+01	1.503899e+02	CENPW;HJURP;CENPN;CENPO;CENPA
GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	12/296	4.557322e-05	1.298837e-03	0	0	4.386275e+00	4.384604e+01	CCNB2;CDC123;CHEK1;PLK1;FZD9;BIRC5;MYBL2;FOXM1;POU4F1;DLGAP5;CDC25A;CKS1B
GO_Biological_Process_2021	mitotic spindle elongation (GO:0000022)	3/8	5.316210e-05	1.446251e-03	0	0	6.028934e+01	5.933776e+02	KIF4A;KIF23;AURKB
GO_Biological_Process_2021	mitotic spindle midzone assembly (GO:0051256)	3/8	5.316210e-05	1.446251e-03	0	0	6.028934e+01	5.933776e+02	KIF4A;KIF23;AURKB
GO_Biological_Process_2021	regulation of double-strand break repair (GO:2000779)	5/42	5.989860e-05	1.593303e-03	0	0	1.369577e+01	1.331620e+02	RAD51AP1;RAD51;CHEK1;DEK;FOXM1
GO_Biological_Process_2021	kinetochore assembly (GO:0051382)	3/9	7.915559e-05	2.042815e-03	0	0	5.023858e+01	4.744579e+02	CENPW;CENPA;DLGAP5
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	12/314	8.021077e-05	2.042815e-03	0	0	4.121037e+00	3.886489e+01	PIF1;BLM;RFC4;DBF4;CDC45;MCM7;EXO1;CHEK1;DONSON;MCM10;IGF2BP3;MCM6
GO_Biological_Process_2021	chromosome condensation (GO:0030261)	5/45	8.396388e-05	2.093849e-03	0	0	1.266667e+01	1.188782e+02	CDCA5;PLK1;NCAPG;NCAPD2;NCAPH
GO_Biological_Process_2021	establishment of mitotic spindle orientation (GO:0000132)	4/24	8.814272e-05	2.153201e-03	0	0	2.018367e+01	1.884459e+02	GPSM2;PLK1;CENPA;NDC80
GO_Biological_Process_2021	regulation of cell cycle process (GO:0010564)	7/106	9.511449e-05	2.277041e-03	0	0	7.217617e+00	6.683823e+01	DBF4;CHEK1;PLK1;KIF20A;BUB1;AURKB;AURKA
GO_Biological_Process_2021	regulation of protein serine/threonine kinase activity (GO:0071900)	7/111	1.271094e-04	2.983332e-03	0	0	6.868872e+00	6.161696e+01	CCNA2;CCNB2;BLM;CCNE1;CDC25A;GTPBP4;EZH2
GO_Biological_Process_2021	microtubule polymerization or depolymerization (GO:0031109)	4/27	1.422008e-04	3.273354e-03	0	0	1.754836e+01	1.554481e+02	KIF18B;STMN1;KIF14;KIF2C
GO_Biological_Process_2021	nuclear DNA replication (GO:0033260)	3/11	1.532027e-04	3.460069e-03	0	0	3.767513e+01	3.309288e+02	MCM7;DONSON;MCM6
GO_Biological_Process_2021	protein depolymerization (GO:0051261)	4/28	1.646091e-04	3.648834e-03	0	0	1.681633e+01	1.465028e+02	KIF18B;STMN1;KIF14;KIF2C
GO_Biological_Process_2021	regulation of DNA replication (GO:0006275)	5/53	1.848592e-04	4.023208e-03	0	0	1.055128e+01	9.069794e+01	CCNA2;CDT1;BLM;DSCC1;GTPBP4
GO_Biological_Process_2021	establishment of mitotic spindle localization (GO:0040001)	4/29	1.894600e-04	4.045202e-03	0	0	1.614286e+01	1.383658e+02	GPSM2;PLK1;CENPA;NDC80
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	6/84	1.972820e-04	4.045202e-03	0	0	7.819984e+00	6.671132e+01	CDC20;PTTG1;UBE2C;PLK1;AURKB;AURKA
GO_Biological_Process_2021	regulation of cytokinesis (GO:0032465)	6/84	1.972820e-04	4.045202e-03	0	0	7.819984e+00	6.671132e+01	PLK1;KIF14;KIF23;KIF20A;AURKB;AURKA
GO_Biological_Process_2021	double-strand break repair via break-induced replication (GO:0000727)	3/12	2.027670e-04	4.045202e-03	0	0	3.348731e+01	2.847578e+02	CDC45;MCM7;MCM6
GO_Biological_Process_2021	positive regulation of ubiquitin protein ligase activity (GO:1904668)	3/12	2.027670e-04	4.045202e-03	0	0	3.348731e+01	2.847578e+02	CDC20;UBE2C;PLK1
GO_Biological_Process_2021	regulation of cell cycle G2/M phase transition (GO:1902749)	6/85	2.105200e-04	4.064393e-03	0	0	7.720606e+00	6.536211e+01	TPX2;TUBB;PLK1;KIF14;GTSE1;AURKA
GO_Biological_Process_2021	G1/S transition of mitotic cell cycle (GO:0000082)	6/85	2.105200e-04	4.064393e-03	0	0	7.720606e+00	6.536211e+01	CDT1;DBF4;CDC45;CCNE1;E2F3;CDC25A
GO_Biological_Process_2021	establishment of spindle orientation (GO:0051294)	4/30	2.169064e-04	4.121221e-03	0	0	1.552119e+01	1.309375e+02	GPSM2;PLK1;CENPA;NDC80
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	12/350	2.207840e-04	4.129351e-03	0	0	3.675312e+00	3.093997e+01	RAD51AP1;BLM;RFC4;RAD51;MCM7;EXO1;CHEK2;CHEK1;RNF8;FANCA;RAD54L;MCM10
GO_Biological_Process_2021	mitotic DNA damage checkpoint signaling (GO:0044773)	5/59	3.072467e-04	5.658067e-03	0	0	9.376068e+00	7.583232e+01	BLM;CHEK2;CHEK1;PLK1;DONSON
GO_Biological_Process_2021	mitotic G2 DNA damage checkpoint signaling (GO:0007095)	4/33	3.163769e-04	5.737926e-03	0	0	1.391344e+01	1.121225e+02	BLM;CHEK1;PLK1;DONSON
GO_Biological_Process_2021	cell cycle G1/S phase transition (GO:0044843)	5/63	4.176696e-04	7.461949e-03	0	0	8.727675e+00	6.790846e+01	CCNA2;DBF4;CCNE1;E2F3;CDC25A
GO_Biological_Process_2021	regulation of mitotic sister chromatid separation (GO:0010965)	3/16	5.011240e-04	8.821256e-03	0	0	2.317884e+01	1.761280e+02	PTTG1;UBE2C;PLK1
GO_Biological_Process_2021	protein localization to chromosome, centromeric region (GO:0071459)	3/17	6.040394e-04	1.023121e-02	0	0	2.152212e+01	1.595192e+02	TTK;CENPA;AURKB
GO_Biological_Process_2021	regulation of exit from mitosis (GO:0007096)	4/39	6.068640e-04	1.023121e-02	0	0	1.152478e+01	8.536643e+01	CDC20;ANLN;UBE2C;CDCA5
GO_Biological_Process_2021	DNA recombination (GO:0006310)	4/39	6.068640e-04	1.023121e-02	0	0	1.152478e+01	8.536643e+01	BLM;RAD51;EXO1;RAD54L
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	8/188	6.243441e-04	1.037972e-02	0	0	4.541667e+00	3.351209e+01	CDC20;ANLN;TPX2;UBE2C;TUBB;PLK1;KIF14;AURKA
GO_Biological_Process_2021	chromosome organization (GO:0051276)	6/106	6.906224e-04	1.132432e-02	0	0	6.092784e+00	4.434277e+01	CDT1;CENPW;NUF2;CDCA8;NDC80;EZH2
GO_Biological_Process_2021	regulation of catabolic process (GO:0009894)	3/18	7.195272e-04	1.148365e-02	0	0	2.008629e+01	1.453628e+02	CHEK2;ODC1;FAM83D
GO_Biological_Process_2021	regulation of chromosome segregation (GO:0051983)	3/18	7.195272e-04	1.148365e-02	0	0	2.008629e+01	1.453628e+02	KIF2C;BUB1;AURKB
GO_Biological_Process_2021	regulation of DNA recombination (GO:0000018)	4/42	8.067730e-04	1.270668e-02	0	0	1.061332e+01	7.559303e+01	RAD51AP1;BLM;RAD51;CHEK1
GO_Biological_Process_2021	double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	2/5	9.754682e-04	1.516410e-02	0	0	6.665657e+01	4.621028e+02	RAD51;RAD54L
GO_Biological_Process_2021	mitotic G2/M transition checkpoint (GO:0044818)	4/45	1.049158e-03	1.610054e-02	0	0	9.835241e+00	6.746747e+01	BLM;CHEK1;PLK1;DONSON
GO_Biological_Process_2021	regulation of double-strand break repair via homologous recombination (GO:0010569)	4/46	1.140178e-03	1.716421e-02	0	0	9.600583e+00	6.505903e+01	RAD51AP1;RAD51;CHEK1;FANCB
GO_Biological_Process_2021	regulation of ubiquitin protein ligase activity (GO:1904666)	3/21	1.147149e-03	1.716421e-02	0	0	1.673604e+01	1.133110e+02	CDC20;UBE2C;PLK1
GO_Biological_Process_2021	regulation of chromosome organization (GO:0033044)	3/22	1.318546e-03	1.907462e-02	0	0	1.585439e+01	1.051341e+02	CDT1;PIF1;BUB1
GO_Biological_Process_2021	double-strand break repair (GO:0006302)	7/164	1.335855e-03	1.907462e-02	0	0	4.537837e+00	3.003224e+01	RAD51AP1;BLM;RAD51;CHEK2;CDCA5;RNF8;TRIP13
GO_Biological_Process_2021	negative regulation of mitotic cell cycle (GO:0045930)	4/48	1.338570e-03	1.907462e-02	0	0	9.163265e+00	6.062557e+01	BTG3;FOXC1;CHEK1;BUB1
GO_Biological_Process_2021	regulation of protein metabolic process (GO:0051246)	4/48	1.338570e-03	1.907462e-02	0	0	9.163265e+00	6.062557e+01	PM20D2;CHEK2;ODC1;FAM83D
GO_Biological_Process_2021	L-serine biosynthetic process (GO:0006564)	2/6	1.453571e-03	2.046970e-02	0	0	4.998990e+01	3.266206e+02	PSAT1;PHGDH
GO_Biological_Process_2021	mitotic cell cycle checkpoint signaling (GO:0007093)	3/23	1.505225e-03	2.083647e-02	0	0	1.506091e+01	9.787806e+01	CHEK1;BUB1;AURKB
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	13/496	1.514430e-03	2.083647e-02	0	0	2.780317e+00	1.805181e+01	PLK1;PRKX;TTK;AURKB;SRPK1;AURKA;CCNA2;MELK;CCNE1;CHEK2;CHEK1;STK38;BIRC5
GO_Biological_Process_2021	cellular protein-containing complex assembly (GO:0034622)	7/168	1.534265e-03	2.086700e-02	0	0	4.424195e+00	2.866747e+01	NUP93;ANLN;CENPW;NCK2;PSMG1;CENPA;DLGAP5
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	12/437	1.551515e-03	2.086700e-02	0	0	2.909887e+00	1.882267e+01	TPX2;DEPDC1B;BLM;RFC4;EXO1;CHEK2;PAK1IP1;CHEK1;FAM83D;POU4F1;AURKB;AURKA
GO_Biological_Process_2021	nuclear membrane reassembly (GO:0031468)	4/54	2.076593e-03	2.761869e-02	0	0	8.061224e+00	4.979440e+01	NUP93;CCNB2;UBXN2A;LBR
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	7/178	2.131310e-03	2.803492e-02	0	0	4.163349e+00	2.560884e+01	CDC20;BTG3;FOXC1;UBE2C;PLK1;DLGAP5;CKS1B
GO_Biological_Process_2021	regulation of mitotic metaphase/anaphase transition (GO:0030071)	3/26	2.161671e-03	2.812522e-02	0	0	1.309446e+01	8.035905e+01	UBE2C;PLK1;DLGAP5
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	5/95	2.662376e-03	3.232924e-02	0	0	5.615385e+00	3.329101e+01	CDC20;DBF4;UBE2C;PLK1;GTSE1
GO_Biological_Process_2021	regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	2/8	2.677767e-03	3.232924e-02	0	0	3.332323e+01	1.973659e+02	UBE2C;PLK1
GO_Biological_Process_2021	DNA damage induced protein phosphorylation (GO:0006975)	2/8	2.677767e-03	3.232924e-02	0	0	3.332323e+01	1.973659e+02	CHEK2;CHEK1
GO_Biological_Process_2021	regulation of protein localization to cell cortex (GO:1904776)	2/8	2.677767e-03	3.232924e-02	0	0	3.332323e+01	1.973659e+02	GPSM2;PLK1
GO_Biological_Process_2021	replication fork protection (GO:0048478)	2/8	2.677767e-03	3.232924e-02	0	0	3.332323e+01	1.973659e+02	BLM;DONSON
GO_Biological_Process_2021	pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	2/8	2.677767e-03	3.232924e-02	0	0	3.332323e+01	1.973659e+02	MCM7;MCM6
GO_Biological_Process_2021	regulation of microtubule polymerization or depolymerization (GO:0031110)	3/28	2.684047e-03	3.232924e-02	0	0	1.204569e+01	7.131563e+01	STMN1;SKA3;SKA1
GO_Biological_Process_2021	positive regulation of mitotic cell cycle phase transition (GO:1901992)	4/58	2.700856e-03	3.232924e-02	0	0	7.462585e+00	4.413512e+01	UBE2C;CDCA5;DLGAP5;CDC25A
GO_Biological_Process_2021	regulation of cellular macromolecule biosynthetic process (GO:2000112)	12/468	2.730227e-03	3.235724e-02	0	0	2.707727e+00	1.598471e+01	CCNA2;FOXC1;CEBPB;CHEK2;DSCC1;HMGA1;MYBL2;YBX1;VGLL1;POU5F1;EZH2;ZNF695
GO_Biological_Process_2021	positive regulation of DNA biosynthetic process (GO:2000573)	4/61	3.245825e-03	3.809071e-02	0	0	7.068743e+00	4.050663e+01	RFC4;DKC1;DSCC1;AURKB
GO_Biological_Process_2021	regulation of DNA-directed DNA polymerase activity (GO:1900262)	2/9	3.420232e-03	3.899064e-02	0	0	2.856133e+01	1.621726e+02	RFC4;DSCC1
GO_Biological_Process_2021	regulation of mitotic centrosome separation (GO:0046602)	2/9	3.420232e-03	3.899064e-02	0	0	2.856133e+01	1.621726e+02	RANBP1;CHEK1
GO_Biological_Process_2021	positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	2/9	3.420232e-03	3.899064e-02	0	0	2.856133e+01	1.621726e+02	RFC4;DSCC1
GO_Biological_Process_2021	positive regulation of ubiquitin-protein transferase activity (GO:0051443)	3/31	3.602735e-03	4.068371e-02	0	0	1.075344e+01	6.049955e+01	CDC20;UBE2C;PLK1
GO_Biological_Process_2021	negative regulation of cell cycle process (GO:0010948)	4/64	3.861288e-03	4.294450e-02	0	0	6.714286e+00	3.730964e+01	RAD51;CHEK1;AURKB;EZH2
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	6/149	3.905762e-03	4.294450e-02	0	0	4.251388e+00	2.357523e+01	TPX2;TUBB;PLK1;KIF14;CDC25A;AURKA
GO_Biological_Process_2021	DNA damage checkpoint signaling (GO:0000077)	3/32	3.946446e-03	4.294450e-02	0	0	1.038211e+01	5.746436e+01	CHEK2;CHEK1;DONSON
GO_Biological_Process_2021	regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	3/32	3.946446e-03	4.294450e-02	0	0	1.038211e+01	5.746436e+01	CDT1;CDC45;CCNE1
GO_Biological_Process_2021	modification-dependent protein catabolic process (GO:0019941)	7/201	4.179357e-03	4.499059e-02	0	0	3.665456e+00	2.007789e+01	CDC20;PTTG1;UBE2C;PLK1;RNF8;AURKB;AURKA
GO_Biological_Process_2021	L-serine metabolic process (GO:0006563)	2/10	4.247232e-03	4.499059e-02	0	0	2.498990e+01	1.364820e+02	PSAT1;PHGDH
GO_Biological_Process_2021	mitotic DNA replication (GO:1902969)	2/10	4.247232e-03	4.499059e-02	0	0	2.498990e+01	1.364820e+02	CDC45;MCM6
GO_Biological_Process_2021	regulation of mitotic spindle organization (GO:0060236)	3/35	5.094588e-03	5.231317e-02	0	0	9.407360e+00	4.966688e+01	GPSM2;TPX2;PLK1
GO_Biological_Process_2021	formation of extrachromosomal circular DNA (GO:0001325)	2/11	5.157021e-03	5.231317e-02	0	0	2.221212e+01	1.170000e+02	BLM;EXO1
GO_Biological_Process_2021	positive regulation of DNA-dependent DNA replication (GO:2000105)	2/11	5.157021e-03	5.231317e-02	0	0	2.221212e+01	1.170000e+02	CDT1;DBF4
GO_Biological_Process_2021	t-circle formation (GO:0090656)	2/11	5.157021e-03	5.231317e-02	0	0	2.221212e+01	1.170000e+02	BLM;EXO1
GO_Biological_Process_2021	telomere maintenance via telomere trimming (GO:0090737)	2/11	5.157021e-03	5.231317e-02	0	0	2.221212e+01	1.170000e+02	BLM;EXO1
GO_Biological_Process_2021	regulation of cell cycle G1/S phase transition (GO:1902806)	3/36	5.517289e-03	5.503495e-02	0	0	9.121827e+00	4.743231e+01	KIF14;FAM83D;EZH2
GO_Biological_Process_2021	telomere maintenance via telomere lengthening (GO:0010833)	3/36	5.517289e-03	5.503495e-02	0	0	9.121827e+00	4.743231e+01	PIF1;RAD51;DKC1
GO_Biological_Process_2021	positive regulation of cellular protein localization (GO:1903829)	4/71	5.594201e-03	5.534098e-02	0	0	6.010661e+00	3.117144e+01	CDT1;PLK1;GTSE1;NDC80
GO_Biological_Process_2021	response to ionizing radiation (GO:0010212)	4/72	5.877786e-03	5.617563e-02	0	0	5.921969e+00	3.041864e+01	RAD51AP1;BLM;RAD51;RNF8
GO_Biological_Process_2021	regulation of microtubule cytoskeleton organization (GO:0070507)	3/37	5.960438e-03	5.617563e-02	0	0	8.853090e+00	4.535094e+01	STMN1;SKA3;SKA1
GO_Biological_Process_2021	positive regulation of cytokinesis (GO:0032467)	3/37	5.960438e-03	5.617563e-02	0	0	8.853090e+00	4.535094e+01	KIF14;KIF23;AURKB
GO_Biological_Process_2021	negative regulation of cell division (GO:0051782)	2/12	6.147875e-03	5.617563e-02	0	0	1.998990e+01	1.017815e+02	BLM;AURKB
GO_Biological_Process_2021	regulation of DNA-dependent DNA replication (GO:0090329)	2/12	6.147875e-03	5.617563e-02	0	0	1.998990e+01	1.017815e+02	CDT1;BLM
GO_Biological_Process_2021	regulation of sister chromatid cohesion (GO:0007063)	2/12	6.147875e-03	5.617563e-02	0	0	1.998990e+01	1.017815e+02	CDCA5;BUB1
GO_Biological_Process_2021	replicative senescence (GO:0090399)	2/12	6.147875e-03	5.617563e-02	0	0	1.998990e+01	1.017815e+02	CHEK2;CHEK1
GO_Biological_Process_2021	serine family amino acid biosynthetic process (GO:0009070)	2/12	6.147875e-03	5.617563e-02	0	0	1.998990e+01	1.017815e+02	PSAT1;PHGDH
GO_Biological_Process_2021	mitotic nuclear membrane disassembly (GO:0007077)	2/12	6.147875e-03	5.617563e-02	0	0	1.998990e+01	1.017815e+02	CCNB2;PLK1
GO_Biological_Process_2021	protein localization to condensed chromosome (GO:1903083)	2/12	6.147875e-03	5.617563e-02	0	0	1.998990e+01	1.017815e+02	TTK;AURKB
GO_Biological_Process_2021	negative regulation of G0 to G1 transition (GO:0070317)	3/38	6.424287e-03	5.825660e-02	0	0	8.599710e+00	4.340849e+01	RAD51;CHEK1;EZH2
