Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Pathways in cancer	9/531	8.636650e-02	4.533466e-01	0	0	1.740206e+00	4.262035e+00	CCNA2;RAD51;CCNE1;FZD9;E2F2;BIRC5;E2F3;IL12RB2;CKS1B
KEGG_2021_Human	Arginine and proline metabolism	2/50	8.924145e-02	4.533466e-01	0	0	4.156566e+00	1.004397e+01	AMD1;ODC1
KEGG_2021_Human	Lysine degradation	2/63	1.310431e-01	6.201343e-01	0	0	3.268588e+00	6.642518e+00	SUV39H2;EZH2
KEGG_2021_Human	Glycolysis / Gluconeogenesis	2/67	1.446754e-01	6.201343e-01	0	0	3.066822e+00	5.928974e+00	LDHB;ENO1
KEGG_2021_Human	Epstein-Barr virus infection	4/202	1.446818e-01	6.201343e-01	0	0	2.020408e+00	3.905890e+00	CCNA2;CCNE1;E2F2;E2F3
KEGG_2021_Human	Central carbon metabolism in cancer	2/70	1.550849e-01	6.201343e-01	0	0	2.931075e+00	5.462887e+00	SLC7A5;LDHB
KEGG_2021_Human	Melanoma	2/72	1.621027e-01	6.201343e-01	0	0	2.847042e+00	5.180264e+00	E2F2;E2F3
KEGG_2021_Human	Non-small cell lung cancer	2/72	1.621027e-01	6.201343e-01	0	0	2.847042e+00	5.180264e+00	E2F2;E2F3
KEGG_2021_Human	Ubiquitin mediated proteolysis	3/140	1.652477e-01	6.201343e-01	0	0	2.185668e+00	3.934880e+00	CDC20;UBE2C;UBE2E3
KEGG_2021_Human	Glioma	2/75	1.727335e-01	6.201343e-01	0	0	2.729625e+00	4.793235e+00	E2F2;E2F3
KEGG_2021_Human	Chronic myeloid leukemia	2/76	1.763025e-01	6.201343e-01	0	0	2.692602e+00	4.673156e+00	E2F2;E2F3
KEGG_2021_Human	Steroid biosynthesis	1/20	1.821712e-01	6.201343e-01	0	0	5.231685e+00	8.908557e+00	LBR
KEGG_2021_Human	One carbon pool by folate	1/20	1.821712e-01	6.201343e-01	0	0	5.231685e+00	8.908557e+00	MTHFD1L
KEGG_2021_Human	Breast cancer	3/147	1.824961e-01	6.201343e-01	0	0	2.078680e+00	3.535890e+00	FZD9;E2F2;E2F3
KEGG_2021_Human	RNA degradation	2/79	1.870767e-01	6.201343e-01	0	0	2.587302e+00	4.336929e+00	BTG3;ENO1
KEGG_2021_Human	Phagosome	3/152	1.950998e-01	6.201343e-01	0	0	2.008415e+00	3.282240e+00	TUBA1C;TUBB;ATP6V1C2
KEGG_2021_Human	Terpenoid backbone biosynthesis	1/22	1.984626e-01	6.201343e-01	0	0	4.732950e+00	7.653913e+00	PDSS1
KEGG_2021_Human	mTOR signaling pathway	3/154	2.002008e-01	6.201343e-01	0	0	1.981612e+00	3.187292e+00	SLC7A5;FZD9;ATP6V1C2
KEGG_2021_Human	Taste transduction	2/86	2.125388e-01	6.426769e-01	0	0	2.370851e+00	3.671573e+00	KCNK5;GABBR2
KEGG_2021_Human	Gap junction	2/88	2.198775e-01	6.494056e-01	0	0	2.315480e+00	3.507223e+00	TUBA1C;TUBB
KEGG_2021_Human	Morphine addiction	2/91	2.309240e-01	6.565129e-01	0	0	2.237090e+00	3.278829e+00	GABBR2;PDE7A
KEGG_2021_Human	Hepatocellular carcinoma	3/168	2.367094e-01	6.565129e-01	0	0	1.812183e+00	2.611214e+00	FZD9;E2F2;E2F3
KEGG_2021_Human	Collecting duct acid secretion	1/27	2.377921e-01	6.565129e-01	0	0	3.821801e+00	5.489477e+00	ATP6V1C2
KEGG_2021_Human	RNA transport	3/186	2.851085e-01	7.557769e-01	0	0	1.632437e+00	2.048522e+00	NUP93;POP1;XPO5
KEGG_2021_Human	Propanoate metabolism	1/34	2.896478e-01	7.557769e-01	0	0	3.010050e+00	3.729722e+00	LDHB
KEGG_2021_Human	Drug metabolism	2/108	2.938547e-01	7.557769e-01	0	0	1.876691e+00	2.298327e+00	UCK2;GMPS
KEGG_2021_Human	HIF-1 signaling pathway	2/109	2.975500e-01	7.557769e-01	0	0	1.859058e+00	2.253500e+00	LDHB;ENO1
KEGG_2021_Human	Pathogenic Escherichia coli infection	3/197	3.151038e-01	7.846703e-01	0	0	1.539013e+00	1.777334e+00	TUBA1C;TUBB;NCK2
KEGG_2021_Human	Glycosphingolipid biosynthesis	1/45	3.641324e-01	8.306689e-01	0	0	2.256281e+00	2.279380e+00	B3GNT5
KEGG_2021_Human	Purine metabolism	2/129	3.704685e-01	8.306689e-01	0	0	1.564702e+00	1.553729e+00	GMPS;PDE7A
KEGG_2021_Human	Nucleotide excision repair	1/47	3.768149e-01	8.306689e-01	0	0	2.157964e+00	2.106175e+00	RFC4
KEGG_2021_Human	Pyruvate metabolism	1/47	3.768149e-01	8.306689e-01	0	0	2.157964e+00	2.106175e+00	LDHB
KEGG_2021_Human	FoxO signaling pathway	2/131	3.776144e-01	8.306689e-01	0	0	1.540287e+00	1.500057e+00	CCNB2;PLK1
KEGG_2021_Human	Oxidative phosphorylation	2/133	3.847268e-01	8.306689e-01	0	0	1.516617e+00	1.448705e+00	UQCRHL;ATP6V1C2
KEGG_2021_Human	Vibrio cholerae infection	1/50	3.953682e-01	8.306689e-01	0	0	2.025536e+00	1.879571e+00	ATP6V1C2
KEGG_2021_Human	Apoptosis	2/142	4.162790e-01	8.306689e-01	0	0	1.418470e+00	1.243147e+00	TUBA1C;BIRC5
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	2/143	4.197358e-01	8.306689e-01	0	0	1.408339e+00	1.222621e+00	FZD9;POU5F1
KEGG_2021_Human	Human papillomavirus infection	4/331	4.227648e-01	8.306689e-01	0	0	1.215315e+00	1.046313e+00	CCNA2;CCNE1;FZD9;ATP6V1C2
KEGG_2021_Human	Pyrimidine metabolism	1/56	4.308418e-01	8.306689e-01	0	0	1.804020e+00	1.519011e+00	UCK2
KEGG_2021_Human	Glutathione metabolism	1/57	4.365494e-01	8.306689e-01	0	0	1.771716e+00	1.468493e+00	ODC1
KEGG_2021_Human	Mineral absorption	1/60	4.533326e-01	8.306689e-01	0	0	1.681373e+00	1.330183e+00	SLC26A9
KEGG_2021_Human	Salmonella infection	3/249	4.550271e-01	8.306689e-01	0	0	1.210474e+00	9.531254e-01	TUBA1C;RIPK2;TUBB
KEGG_2021_Human	Parkinson disease	3/249	4.550271e-01	8.306689e-01	0	0	1.210474e+00	9.531254e-01	TUBA1C;TUBB;UQCRHL
KEGG_2021_Human	Hepatitis C	2/157	4.669832e-01	8.306689e-01	0	0	1.280222e+00	9.748399e-01	E2F2;E2F3
KEGG_2021_Human	Basal cell carcinoma	1/63	4.696183e-01	8.306689e-01	0	0	1.599773e+00	1.209165e+00	FZD9
KEGG_2021_Human	GnRH secretion	1/64	4.749389e-01	8.306689e-01	0	0	1.574300e+00	1.172175e+00	GABBR2
KEGG_2021_Human	Inflammatory bowel disease	1/65	4.802063e-01	8.306689e-01	0	0	1.549623e+00	1.136710e+00	IL12RB2
KEGG_2021_Human	Hippo signaling pathway	2/163	4.865301e-01	8.306689e-01	0	0	1.232135e+00	8.876997e-01	FZD9;BIRC5
KEGG_2021_Human	Acute myeloid leukemia	1/67	4.905840e-01	8.306689e-01	0	0	1.502513e+00	1.070027e+00	CCNA2
KEGG_2021_Human	Amyotrophic lateral sclerosis	4/364	4.951585e-01	8.306689e-01	0	0	1.102041e+00	7.745994e-01	NUP93;TUBA1C;TUBB;UQCRHL
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	1/70	5.057652e-01	8.306689e-01	0	0	1.436967e+00	9.795558e-01	ATP6V1C2
KEGG_2021_Human	Alzheimer disease	4/369	5.058127e-01	8.306689e-01	0	0	1.086665e+00	7.406586e-01	TUBA1C;TUBB;FZD9;UQCRHL
KEGG_2021_Human	Protein processing in endoplasmic reticulum	2/171	5.118910e-01	8.306689e-01	0	0	1.173331e+00	7.857134e-01	UBXN2A;PDIA6
KEGG_2021_Human	Prion disease	3/273	5.157953e-01	8.306689e-01	0	0	1.101523e+00	7.292579e-01	TUBA1C;TUBB;UQCRHL
KEGG_2021_Human	Inositol phosphate metabolism	1/73	5.204962e-01	8.306689e-01	0	0	1.376884e+00	8.990678e-01	IMPA2
KEGG_2021_Human	Tuberculosis	2/180	5.394268e-01	8.306689e-01	0	0	1.113494e+00	6.873025e-01	CEBPB;RIPK2
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	1/77	5.394601e-01	8.306689e-01	0	0	1.304152e+00	8.049051e-01	DSC2
KEGG_2021_Human	Synaptic vesicle cycle	1/78	5.440833e-01	8.306689e-01	0	0	1.287150e+00	7.834276e-01	ATP6V1C2
KEGG_2021_Human	Axon guidance	2/182	5.453994e-01	8.306689e-01	0	0	1.101010e+00	6.674729e-01	NCK2;RGMA
KEGG_2021_Human	Transcriptional misregulation in cancer	2/192	5.744500e-01	8.306689e-01	0	0	1.042531e+00	5.779186e-01	CCNA2;CEBPB
KEGG_2021_Human	ErbB signaling pathway	1/85	5.751779e-01	8.306689e-01	0	0	1.179469e+00	6.523357e-01	NCK2
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	2/193	5.772801e-01	8.306689e-01	0	0	1.037019e+00	5.697672e-01	E2F2;E2F3
KEGG_2021_Human	Colorectal cancer	1/86	5.794443e-01	8.306689e-01	0	0	1.165534e+00	6.360151e-01	BIRC5
KEGG_2021_Human	Cardiac muscle contraction	1/87	5.836680e-01	8.306689e-01	0	0	1.151922e+00	6.202215e-01	UQCRHL
KEGG_2021_Human	GABAergic synapse	1/89	5.919892e-01	8.306689e-01	0	0	1.125628e+00	5.901296e-01	GABBR2
KEGG_2021_Human	Huntington disease	3/306	5.930719e-01	8.306689e-01	0	0	9.798965e-01	5.119367e-01	TUBA1C;TUBB;UQCRHL
KEGG_2021_Human	Th1 and Th2 cell differentiation	1/92	6.041617e-01	8.306689e-01	0	0	1.088354e+00	5.484361e-01	IL12RB2
KEGG_2021_Human	Rheumatoid arthritis	1/93	6.081384e-01	8.306689e-01	0	0	1.076469e+00	5.353851e-01	ATP6V1C2
KEGG_2021_Human	TGF-beta signaling pathway	1/94	6.120753e-01	8.306689e-01	0	0	1.064840e+00	5.227301e-01	RGMA
KEGG_2021_Human	IL-17 signaling pathway	1/94	6.120753e-01	8.306689e-01	0	0	1.064840e+00	5.227301e-01	CEBPB
KEGG_2021_Human	Phosphatidylinositol signaling system	1/97	6.236514e-01	8.306689e-01	0	0	1.031407e+00	4.869929e-01	IMPA2
KEGG_2021_Human	Glycerophospholipid metabolism	1/98	6.274332e-01	8.306689e-01	0	0	1.020722e+00	4.757770e-01	PTDSS1
KEGG_2021_Human	Human immunodeficiency virus 1 infection	2/212	6.284441e-01	8.306689e-01	0	0	9.422799e-01	4.376967e-01	CCNB2;CHEK1
KEGG_2021_Human	Melanogenesis	1/101	6.385533e-01	8.306689e-01	0	0	9.899497e-01	4.440421e-01	FZD9
KEGG_2021_Human	Protein digestion and absorption	1/103	6.457826e-01	8.306689e-01	0	0	9.704404e-01	4.243662e-01	KCNK5
KEGG_2021_Human	T cell receptor signaling pathway	1/104	6.493431e-01	8.306689e-01	0	0	9.609699e-01	4.149411e-01	NCK2
KEGG_2021_Human	Glucagon signaling pathway	1/107	6.598123e-01	8.306689e-01	0	0	9.336304e-01	3.882034e-01	LDHB
KEGG_2021_Human	Human cytomegalovirus infection	2/225	6.606107e-01	8.306689e-01	0	0	8.867600e-01	3.676424e-01	E2F2;E2F3
KEGG_2021_Human	TNF signaling pathway	1/112	6.765743e-01	8.364216e-01	0	0	8.913486e-01	3.482614e-01	CEBPB
KEGG_2021_Human	Chemical carcinogenesis	2/239	6.927256e-01	8.364216e-01	0	0	8.337808e-01	3.060988e-01	BIRC5;CDC25A
KEGG_2021_Human	Neurotrophin signaling pathway	1/119	6.986693e-01	8.364216e-01	0	0	8.381739e-01	3.005505e-01	RIPK2
KEGG_2021_Human	AMPK signaling pathway	1/120	7.017006e-01	8.364216e-01	0	0	8.310882e-01	2.944117e-01	CCNA2
KEGG_2021_Human	Pathways of neurodegeneration	4/475	7.027150e-01	8.364216e-01	0	0	8.375146e-01	2.954784e-01	TUBA1C;TUBB;FZD9;UQCRHL
KEGG_2021_Human	Thyroid hormone signaling pathway	1/121	7.047016e-01	8.364216e-01	0	0	8.241206e-01	2.884264e-01	MED30
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	1/131	7.331076e-01	8.620802e-01	0	0	7.603402e-01	2.360573e-01	ULBP3
KEGG_2021_Human	Estrogen signaling pathway	1/137	7.488283e-01	8.703668e-01	0	0	7.265740e-01	2.101583e-01	GABBR2
KEGG_2021_Human	Measles	1/139	7.538610e-01	8.703668e-01	0	0	7.159712e-01	2.022957e-01	CCNE1
KEGG_2021_Human	Cell adhesion molecules	1/148	7.752949e-01	8.870491e-01	0	0	6.718285e-01	1.709883e-01	PVR
KEGG_2021_Human	Non-alcoholic fatty liver disease	1/155	7.906726e-01	8.965663e-01	0	0	6.410625e-01	1.505671e-01	UQCRHL
KEGG_2021_Human	JAK-STAT signaling pathway	1/162	8.050029e-01	9.037505e-01	0	0	6.129717e-01	1.329593e-01	IL12RB2
KEGG_2021_Human	Wnt signaling pathway	1/166	8.127489e-01	9.037505e-01	0	0	5.979899e-01	1.239831e-01	FZD9
KEGG_2021_Human	Tight junction	1/169	8.183568e-01	9.037505e-01	0	0	5.872218e-01	1.177127e-01	TUBA1C
KEGG_2021_Human	NOD-like receptor signaling pathway	1/181	8.391657e-01	9.187417e-01	0	0	5.477387e-01	9.604440e-02	RIPK2
KEGG_2021_Human	Neutrophil extracellular trap formation	1/189	8.517025e-01	9.244976e-01	0	0	5.242168e-01	8.414624e-02	CLCN4
KEGG_2021_Human	Diabetic cardiomyopathy	1/203	8.713466e-01	9.326848e-01	0	0	4.875367e-01	6.714131e-02	UQCRHL
KEGG_2021_Human	Proteoglycans in cancer	1/205	8.739330e-01	9.326848e-01	0	0	4.827077e-01	6.504561e-02	FZD9
KEGG_2021_Human	cAMP signaling pathway	1/216	8.872602e-01	9.390171e-01	0	0	4.577539e-01	5.475514e-02	GABBR2
KEGG_2021_Human	Thermogenesis	1/232	9.041817e-01	9.490172e-01	0	0	4.256999e-01	4.287859e-02	UQCRHL
KEGG_2021_Human	Shigellosis	1/246	9.169000e-01	9.544778e-01	0	0	4.010871e-01	3.479707e-02	RIPK2
KEGG_2021_Human	MAPK signaling pathway	1/294	9.490410e-01	9.725314e-01	0	0	3.345567e-01	1.749841e-02	STMN1
KEGG_2021_Human	Cytokine-cytokine receptor interaction	1/295	9.495582e-01	9.725314e-01	0	0	3.334017e-01	1.725636e-02	IL12RB2
KEGG_2021_Human	Neuroactive ligand-receptor interaction	1/341	9.684670e-01	9.801103e-01	0	0	2.876145e-01	9.215429e-03	GABBR2
KEGG_2021_Human	PI3K-Akt signaling pathway	1/354	9.723929e-01	9.801103e-01	0	0	2.768374e-01	7.750158e-03	CCNE1
KEGG_2021_Human	Herpes simplex virus 1 infection	1/498	9.937065e-01	9.937065e-01	0	0	1.951710e-01	1.232182e-03	SRPK1
